ID,orderNumber,description,status,orderType,plantCode,plantName,location,equipmentNumber,equipmentDescription,scheduledStart,scheduledEnd,workCenter,planner,equipmentCriticality,safetyRisk,productionImpact,priority,priorityScore,estimatedDowntimeHrs,downtimeCostPerHour,currency,failureRiskScore
eceb6bcf-fce3-489f-9d15-15b25a983667,ORD-3000,"Compressor Unit - High criticality / High safety / High production impact (case 1)",Open,Corrective,P100,Jubail Plant,Compressor House,EQ-1000,Compressor Unit,2026-08-13T06:00:00.000Z,2026-08-13T08:00:00.000Z,WC-MECH,Ahmed Al-Otaibi,High,High,High,Urgent,100,1.00,300.00,SAR,10
982b5c7a-44f6-4595-8bee-328ee5f7f777,ORD-3001,"Conveyor Motor - High criticality / High safety / Medium production impact (case 2)",InProcess,Preventive,P200,Yanbu Plant,Line 1,EQ-1001,Conveyor Motor,2026-08-14T07:00:00.000Z,2026-08-14T10:00:00.000Z,WC-ELEC,Sara Al-Qahtani,High,High,Medium,Urgent,100,2.00,550.00,SAR,11
07f7bf46-0079-4295-b0e8-87c2a222c1e2,ORD-3002,"Backup Generator - High criticality / High safety / Low production impact (case 3)",Planned,Predictive,P300,Dammam Plant,Line 2,EQ-1002,Backup Generator,2026-08-15T08:00:00.000Z,2026-08-15T12:00:00.000Z,WC-INST,Mohammed Al-Harbi,High,High,Low,Urgent,100,3.00,800.00,SAR,12
0681cfe0-954f-45d3-ab26-3c1e000875fc,ORD-3003,"Packaging Machine - Medium criticality / High safety / High production impact (case 4)",Completed,Corrective,P400,Riyadh Plant,Boiler Room,EQ-1003,Packaging Machine,2026-08-16T09:00:00.000Z,2026-08-16T14:00:00.000Z,WC-CIVIL,Fatimah Al-Zahrani,Medium,High,High,Urgent,100,4.00,1050.00,SAR,13
815c4522-68ca-4144-b168-e152b9d4154e,ORD-3004,"Pressure Sensor - Medium criticality / High safety / Medium production impact (case 5)",Open,Preventive,P100,Jubail Plant,Utility Yard,EQ-1004,Pressure Sensor,2026-08-17T10:00:00.000Z,2026-08-17T16:00:00.000Z,WC-MECH,Khalid Al-Dosari,Medium,High,Medium,Urgent,100,5.00,1300.00,SAR,14
c3b00702-3f1a-48cc-9022-fce3903b9a90,ORD-3005,"Pump Station Motor - Medium criticality / High safety / Low production impact (case 6)",InProcess,Predictive,P200,Yanbu Plant,Packaging Hall,EQ-1005,Pump Station Motor,2026-08-18T11:00:00.000Z,2026-08-18T18:00:00.000Z,WC-ELEC,Noura Al-Shehri,Medium,High,Low,Urgent,100,6.00,1550.00,SAR,15
256688b3-28d0-4ab9-8c82-80a46a68ef60,ORD-3006,"Cooling Tower Fan - Low criticality / High safety / High production impact (case 7)",Planned,Corrective,P300,Dammam Plant,Tank Farm,EQ-1006,Cooling Tower Fan,2026-08-19T12:00:00.000Z,2026-08-19T14:00:00.000Z,WC-INST,Faisal Al-Ghamdi,Low,High,High,Urgent,100,7.00,1800.00,SAR,16
0e0f1790-f3c7-4ac4-a5e9-df658477fe46,ORD-3007,"Valve Actuator - Low criticality / High safety / Medium production impact (case 8)",Completed,Preventive,P400,Riyadh Plant,Control Room,EQ-1007,Valve Actuator,2026-08-20T13:00:00.000Z,2026-08-20T16:00:00.000Z,WC-CIVIL,Huda Al-Malki,Low,High,Medium,Urgent,100,8.00,2050.00,SAR,17
b4384cd8-febe-4394-a8af-c4f6b4d837b9,ORD-3008,"Control Panel - Low criticality / High safety / Low production impact (case 9)",Open,Predictive,P100,Jubail Plant,Pump Station,EQ-1008,Control Panel,2026-08-21T14:00:00.000Z,2026-08-21T18:00:00.000Z,WC-MECH,Abdullah Al-Amri,Low,High,Low,Urgent,100,1.00,2300.00,SAR,18
fd80b9d9-5c0e-40b1-b298-98a92181f62e,ORD-3009,"Heat Exchanger - High criticality / Medium safety / High production impact (case 10)",InProcess,Corrective,P200,Yanbu Plant,Cooling Tower,EQ-1009,Heat Exchanger,2026-08-22T15:00:00.000Z,2026-08-22T20:00:00.000Z,WC-ELEC,Reem Al-Subaie,High,Medium,High,High,15,2.00,2550.00,SAR,19
